Date,WI confirmed,WV confirmed,WI deaths,WV deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,3,0,0,0
2020-03-10,3,0,0,0
2020-03-11,3,0,0,0
2020-03-12,6,0,0,0
2020-03-13,19,0,0,0
2020-03-14,27,0,0,0
2020-03-15,33,0,0,0
2020-03-16,47,0,0,0
2020-03-17,72,1,0,0
2020-03-18,106,2,0,0
2020-03-19,155,4,2,0
2020-03-20,206,8,3,0
2020-03-21,280,12,4,0
2020-03-22,380,16,4,0
2020-03-23,414,20,5,0
2020-03-24,455,38,5,0
2020-03-25,584,49,6,0
2020-03-26,707,49,8,0
2020-03-27,842,96,12,0
2020-03-28,989,113,13,0
2020-03-29,1112,123,13,1
2020-03-30,1221,145,14,1
2020-03-31,1351,162,16,1
2020-04-01,1549,189,24,2
2020-04-02,1730,217,31,2
